TimeStamp (UTC)," ""Latitude"""," ""Longitude"""," ""Altitude (Meter ASL)"""," ""Drone Yaw""",CO2 (ppm),Wind Direction,,Wind Speed
UTC 221222 112200 5 9 ,53.32836151,5.930914402,28.3,312.96,450,244°,,  7.24 m/s
UTC 221222 112205 5 9 ,53.32852936,5.93099308,28.06,75.09,498,241°,,  7.05 m/s
UTC 221222 112210 5 9 ,53.3285675,5.931357861,28.21,77.36,540,238°,,  7.34 m/s
UTC 221222 112215 5 9 ,53.3286171,5.931726456,28.38,77.4,549,236°,,  8.74 m/s
UTC 221222 112220 5 9 ,53.32866669,5.932095051,28.55,77.55,569,235°,,  8.08 m/s
UTC 221222 112225 5 9 ,53.32871628,5.932463169,28.67,77.57,575,237°,,  7.88 m/s
UTC 221222 112230 5 9 ,53.32876587,5.93282795,28.86,77.58,569,234°,,  7.19 m/s
UTC 221222 112235 5 9 ,53.32881546,5.933196068,29.01,77.48,566,230°,,  6.70 m/s
UTC 221222 112240 5 9 ,53.32886124,5.933561802,29.17,76.94,575,235°,,  7.09 m/s
UTC 221222 112245 5 9 ,53.32891083,5.933928013,29.32,77.93,575,230°,,  5.47 m/s
UTC 221222 112250 5 9 ,53.32896042,5.934296608,29.5,77.53,575,231°,,  5.51 m/s
UTC 221222 112306 5 9 ,53.32919693,5.935289383,29.57,347.06,589,227°,,  5.51 m/s
UTC 221222 112310 5 9 ,53.32925415,5.935079098,29.24,256.95,549,243°,,  7.02 m/s
UTC 221222 112315 5 9 ,53.32920074,5.934715748,29.15,256.24,540,224°,,  5.35 m/s
UTC 221222 112320 5 9 ,53.32915115,5.934351921,29,256.55,498,236°,,  5.26 m/s
UTC 221222 112325 5 9 ,53.32910156,5.933977127,28.88,256.58,496,223°,,  6.46 m/s
UTC 221222 112330 5 9 ,53.32905197,5.933612347,28.76,256.67,491,231°,,  8.26 m/s
UTC 221222 112335 5 9 ,53.3290062,5.933246136,28.63,256.66,476,229°,,  8.13 m/s
UTC 221222 112340 5 9 ,53.3289566,5.932882786,28.49,256.88,459,226°,,  7.13 m/s
UTC 221222 112345 5 9 ,53.32890701,5.932513237,28.37,256.87,454,234°,,  5.68 m/s
UTC 221222 112348 5 9 ,53.32883835,5.931995392,28.18,256.32,459,233°,,  7.92 m/s
UTC 221222 112355 5 9 ,53.32880783,5.931776524,28.1,256.4,464,228°,,  8.10 m/s
UTC 221222 112411 5 9 ,53.32880402,5.930755138,27.51,356.47,459,239°,,  7.39 m/s
UTC 221222 112415 5 9 ,53.32888794,5.93094635,27.47,77.35,496,241°,,  6.80 m/s
UTC 221222 112420 5 9 ,53.32893372,5.931315422,27.54,77.06,526,241°,,  7.75 m/s
UTC 221222 112425 5 9 ,53.32897949,5.931683064,27.61,77.33,540,240°,,  7.37 m/s
UTC 221222 112430 5 9 ,53.32902908,5.932051659,27.7,77.48,549,230°,,  6.94 m/s
UTC 221222 112435 5 9 ,53.32907867,5.93241787,27.77,77.54,566,247°,,  7.42 m/s
UTC 221222 112439 5 9 ,53.32912827,5.932783604,27.83,77.67,569,238°,,  6.86 m/s
UTC 221222 112445 5 9 ,53.32917404,5.933151245,27.92,77.77,569,245°,,  7.54 m/s
UTC 221222 112450 5 9 ,53.32922363,5.933516026,27.99,76.9,575,241°,,  6.63 m/s
UTC 221222 112455 5 9 ,53.32927322,5.933887005,28.07,77.79,589,236°,,  7.51 m/s
UTC 221222 112500 5 9 ,53.32932281,5.934249878,28.16,77.13,589,240°,,  7.26 m/s
UTC 221222 112515 5 9 ,53.32955551,5.935155869,27.96,346.79,575,237°,,  6.86 m/s
UTC 221222 112520 5 9 ,53.32958984,5.934874058,27.66,255.94,531,230°,,  6.64 m/s
UTC 221222 112525 5 9 ,53.32954025,5.934503555,27.61,256.33,496,225°,,  6.00 m/s
UTC 221222 112529 5 9 ,53.32950211,5.934207916,27.56,256.66,491,228°,,  7.37 m/s
UTC 221222 112557 5 9 ,53.32922745,5.932153702,27.21,256.61,476,232°,,  7.16 m/s
UTC 221222 112600 5 9 ,53.32919693,5.93193531,27.17,256.61,454,232°,,  6.78 m/s
UTC 221222 112620 5 9 ,53.32916641,5.93063879,26.55,5.86,476,238°,,  7.70 m/s
UTC 221222 112625 5 9 ,53.32925415,5.930942535,26.52,77.37,517,240°,,  7.38 m/s
UTC 221222 112630 5 9 ,53.32929993,5.931314945,26.61,77.35,531,234°,,  6.72 m/s
UTC 221222 112635 5 9 ,53.32934952,5.93168211,26.68,77.9,555,234°,,  6.66 m/s
UTC 221222 112640 5 9 ,53.32939911,5.932049274,26.75,77.43,569,239°,,  6.84 m/s
UTC 221222 112644 5 9 ,53.32943726,5.932343483,26.8,77.49,581,243°,,  6.25 m/s
UTC 221222 112648 5 9 ,53.32949448,5.93278265,26.9,77.41,581,248°,,  6.32 m/s
UTC 221222 112655 5 9 ,53.32954407,5.933151245,26.97,77.29,589,235°,,  6.28 m/s
UTC 221222 112700 5 9 ,53.32959366,5.933519363,27.04,77.73,611,237°,,  5.67 m/s
UTC 221222 112705 5 9 ,53.32964325,5.933883667,27.11,77.88,611,240°,,  6.50 m/s
UTC 221222 112720 5 9 ,53.32978821,5.934975624,27.31,69.74,611,239°,,  8.36 m/s
UTC 221222 112725 5 9 ,53.32995987,5.934949398,27.41,297.82,589,232°,,  8.28 m/s
UTC 221222 112730 5 9 ,53.32992554,5.934623718,27.34,256.44,526,235°,,  8.31 m/s
UTC 221222 112735 5 9 ,53.32987595,5.93425417,27.25,256.82,491,235°,,  7.61 m/s
UTC 221222 112740 5 9 ,53.32982636,5.933885098,27.14,256.72,470,224°,,  7.65 m/s
UTC 221222 112745 5 9 ,53.32977676,5.933516502,27.04,256.71,464,233°,,  7.15 m/s
UTC 221222 112750 5 9 ,53.32972717,5.93314743,26.98,257.02,450,227°,,  7.27 m/s
UTC 221222 112755 5 9 ,53.32967758,5.93278265,26.89,256.63,450,228°,,  6.98 m/s
UTC 221222 112800 5 9 ,53.32963181,5.932414532,26.84,257.06,439,232°,,  6.84 m/s
UTC 221222 112805 5 9 ,53.32958221,5.932047367,26.73,256.68,439,231°,,  6.85 m/s
UTC 221222 112810 5 9 ,53.32953262,5.931684494,26.62,256.84,450,228°,,  7.37 m/s
UTC 221222 112819 5 9 ,53.32947159,5.930520058,26.37,346.84,454,240°,,  7.26 m/s
UTC 221222 112835 5 9 ,53.32961655,5.930935383,26.53,77.46,519,236°,,  7.22 m/s
UTC 221222 112840 5 9 ,53.32966614,5.931303978,26.65,77.36,543,240°,,  6.16 m/s
UTC 221222 112845 5 9 ,53.32971573,5.931671143,26.8,77.5,555,237°,,  5.99 m/s
UTC 221222 112850 5 9 ,53.32976532,5.932035923,26.92,77.42,569,238°,,  5.79 m/s
UTC 221222 112855 5 9 ,53.3298111,5.932404518,27.05,77.45,589,243°,,  5.72 m/s
UTC 221222 112901 5 9 ,53.32987213,5.932844162,27.21,77.52,602,242°,,  7.45 m/s
UTC 221222 112905 5 9 ,53.32991028,5.933138371,27.3,77.04,611,238°,,  6.32 m/s
UTC 221222 112910 5 9 ,53.32995987,5.933508396,27.44,77.45,596,233°,,  6.32 m/s
UTC 221222 112915 5 9 ,53.33000946,5.933871746,27.56,77.7,596,244°,,  6.89 m/s
UTC 221222 112930 5 9 ,53.33018875,5.934915066,28.05,14.84,589,231°,,  7.42 m/s
UTC 221222 112935 5 9 ,53.33031082,5.934726238,28.32,258.78,531,222°,,  5.90 m/s
UTC 221222 112940 5 9 ,53.33026123,5.934370995,28.13,256.37,498,229°,,  7.46 m/s
UTC 221222 112944 5 9 ,53.33021164,5.934000969,28,256.25,491,232°,,  8.14 m/s
UTC 221222 113000 5 9 ,53.33006287,5.932901382,27.56,256.74,470,230°,,  6.65 m/s
UTC 221222 113005 5 9 ,53.33001328,5.932532787,27.38,256.52,450,227°,,  5.97 m/s
UTC 221222 113010 5 9 ,53.32996368,5.932164669,27.25,256.54,454,234°,,  6.45 m/s
UTC 221222 113015 5 9 ,53.32991409,5.931797504,27.08,256.7,454,232°,,  6.02 m/s
UTC 221222 113020 5 9 ,53.32986832,5.93143177,26.95,256.57,454,235°,,  5.61 m/s
UTC 221222 113035 5 9 ,53.32981491,5.93040657,26.57,345.37,476,246°,,  6.60 m/s
UTC 221222 113040 5 9 ,53.32994461,5.930591106,26.73,76.75,526,242°,,  6.34 m/s
UTC 221222 113045 5 9 ,53.32999039,5.9309659,26.87,77.48,555,242°,,  5.98 m/s
UTC 221222 113050 5 9 ,53.33003998,5.931332111,27.02,76.91,575,239°,,  5.48 m/s
UTC 221222 113055 5 9 ,53.33008575,5.931701183,27.16,77.12,581,238°,,  6.26 m/s
UTC 221222 113100 5 9 ,53.33014679,5.932141781,27.32,77.41,611,236°,,  7.00 m/s
UTC 221222 113105 5 9 ,53.33018494,5.932435989,27.44,77.31,589,237°,,  7.12 m/s
UTC 221222 113110 5 9 ,53.33023453,5.932803154,27.58,77.25,581,235°,,  7.31 m/s
UTC 221222 113115 5 9 ,53.33028412,5.933169365,27.72,77.46,589,237°,,  7.94 m/s
UTC 221222 113120 5 9 ,53.33033371,5.933536053,27.85,77.52,581,241°,,  7.85 m/s
UTC 221222 113140 5 9 ,53.33062363,5.934756279,28.35,337.67,596,229°,,  7.57 m/s
UTC 221222 113145 5 9 ,53.33063889,5.934452057,28.25,256.07,526,238°,,  6.60 m/s
UTC 221222 113150 5 9 ,53.33058929,5.934082508,28.14,256.66,503,234°,,  6.59 m/s
UTC 221222 113155 5 9 ,53.3305397,5.933712006,28.05,256.36,485,230°,,  6.02 m/s
UTC 221222 113200 5 9 ,53.33049011,5.933344364,27.92,256.54,481,230°,,  7.67 m/s
UTC 221222 113205 5 9 ,53.33044052,5.932976723,27.79,256.59,470,231°,,  8.05 m/s
UTC 221222 113210 5 9 ,53.33039474,5.932612419,27.69,256.83,454,233°,,  7.87 m/s
