TimeStamp (UTC)," ""TriggerID"""," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)""",Gimbal Roll," ""Gimbal Pitch"""," ""Gimbal Yaw"""," ""Drone Yaw"""," ""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter)
UTC 221222 112739 5 9 ,698,53.3298378,5.933958054,27.17,0,0,0,256.54,256.54,0.01,476,11,26,312,54,120,9.25,100058,125.42
UTC 221222 112740 5 9 ,699,53.32982636,5.933885098,27.14,0,0,0,256.72,256.72,0.01,470,10,26,313,53,120,9.2,100062,125.42
UTC 221222 112741 5 9 ,700,53.32981491,5.933812141,27.13,0,0,0,256.53,256.53,0.01,464,9,26,310,53,121,9.15,100062,125.42
UTC 221222 112742 5 9 ,701,53.32980728,5.933738232,27.13,0,0,0,256.64,256.64,0.01,464,9,25,312,53,121,9.1,100063,125.42
UTC 221222 112743 5 9 ,702,53.32979584,5.933664322,27.1,0,0,0,256.58,256.58,0.01,476,11,25,312,53,120,9.06,100064,125.42
UTC 221222 112744 5 9 ,703,53.32978439,5.933589935,27.07,0,0,0,256.68,256.68,0.01,459,8,25,313,53,119,9.02,100062,125.42
UTC 221222 112745 5 9 ,704,53.32977676,5.933516502,27.04,0,0,0,256.71,256.71,0.01,464,9,25,313,53,121,8.98,100062,125.42
UTC 221222 112746 5 9 ,705,53.32976532,5.933442116,27.02,0,0,0,256.84,256.84,0.01,459,8,25,314,53,121,8.95,100068,125.42
UTC 221222 112747 5 9 ,706,53.32975769,5.933368206,27.04,0,0,0,256.77,256.77,0.01,464,9,26,313,53,120,8.92,100063,125.42
UTC 221222 112748 5 9 ,707,53.32974625,5.933294296,27.03,0,0,0,256.96,256.96,0.01,464,9,25,314,53,120,8.89,100059,125.42
UTC 221222 112749 5 9 ,708,53.32973862,5.933220387,27,0,0,0,256.79,256.79,0.01,470,10,26,314,54,120,8.86,100063,125.42
UTC 221222 112750 5 9 ,709,53.32972717,5.93314743,26.98,0,0,0,257.02,257.02,0.01,450,7,26,313,53,120,8.84,100060,125.42
UTC 221222 112751 5 9 ,710,53.32971954,5.933074951,26.97,0,0,0,256.84,256.84,0.01,450,7,26,313,53,120,8.81,100069,125.42
UTC 221222 112752 5 9 ,711,53.3297081,5.933000088,26.96,0,0,0,256.63,256.63,0.01,435,5,25,313,53,120,8.8,100070,125.42
UTC 221222 112753 5 9 ,712,53.32969666,5.932926655,26.95,0,0,0,256.38,256.38,0.01,450,7,25,313,53,120,8.78,100072,125.42
UTC 221222 112754 5 9 ,713,53.32968903,5.932855606,26.92,0,0,0,256.51,256.51,0.01,445,6,25,313,53,120,8.76,100066,125.42
UTC 221222 112755 5 9 ,714,53.32967758,5.93278265,26.89,0,0,0,256.63,256.63,0.01,450,7,25,311,53,119,8.75,100062,125.42
UTC 221222 112756 5 9 ,715,53.32966995,5.932709217,26.9,0,0,0,256.68,256.68,0.01,439,5,25,313,53,120,8.74,100063,125.42
UTC 221222 112757 5 9 ,716,53.32965851,5.932636261,26.88,0,0,0,256.88,256.88,0.01,464,9,25,314,53,120,8.72,100067,125.42
UTC 221222 112758 5 9 ,717,53.32965088,5.932562351,26.88,0,0,0,256.43,256.43,0.01,459,8,25,314,53,120,8.71,100071,125.42
UTC 221222 112759 5 9 ,718,53.32963943,5.932487965,26.85,0,0,0,256.54,256.54,0.01,445,6,24,314,53,120,8.69,100069,125.42
UTC 221222 112800 5 9 ,719,53.32963181,5.932414532,26.84,0,0,0,257.06,257.06,0.01,439,5,25,314,53,119,8.68,100067,125.42
